Game,Winner,0,1,2,3,4,5,6,7,8
0,O,,,,,,,,,X
0,O,,O,,,,,,,X
0,O,,O,,,,,X,,X
0,O,,O,,,,,X,O,X
0,O,,O,,X,,,X,O,X
0,O,,O,,X,O,,X,O,X
1,X,,,X,,,,,,
1,X,,,X,,,,,O,
1,X,,,X,,,,X,O,
1,X,,,X,O,,,X,O,
1,X,,,X,O,,X,X,O,
1,X,,,X,O,O,X,X,O,
1,X,X,,X,O,O,X,X,O,
1,X,X,,X,O,O,X,X,O,O
1,X,X,X,X,O,O,X,X,O,O
2,X,,,,,,,,X,
2,X,,,,,,,O,X,
2,X,X,,,,,,O,X,
2,X,X,,,,O,,O,X,
2,X,X,,X,,O,,O,X,
2,X,X,,X,,O,O,O,X,
2,X,X,X,X,,O,O,O,X,
3,X,,,,,X,,,,
3,X,,O,,,X,,,,
3,X,,O,,,X,,,,X
3,X,,O,,O,X,,,,X
3,X,X,O,,O,X,,,,X
4,X,X,,,,,,,,
4,X,X,,,,,O,,,
4,X,X,,,,,O,,,X
4,X,X,,,,O,O,,,X
4,X,X,,,X,O,O,,,X
4,X,X,,,X,O,O,,O,X
4,X,X,,,X,O,O,X,O,X
5,,,,,,,,,,X
5,,O,,,,,,,,X
5,,O,,,,,,X,,X
5,,O,,,,,,X,O,X
5,,O,X,,,,,X,O,X
5,,O,X,,,,O,X,O,X
5,,O,X,,X,,O,X,O,X
5,,O,X,O,X,,O,X,O,X
5,,O,X,O,X,X,O,X,O,X
6,O,,,,,,X,,,
6,O,,,,,,X,O,,
6,O,,,,,X,X,O,,
6,O,O,,,,X,X,O,,
6,O,O,,,,X,X,O,X,
6,O,O,,O,,X,X,O,X,
6,O,O,,O,,X,X,O,X,X
6,O,O,O,O,,X,X,O,X,X
7,X,,,,,,,,,X
7,X,,,,,,O,,,X
7,X,,,,X,,O,,,X
7,X,,,,X,,O,O,,X
7,X,X,,,X,,O,O,,X
7,X,X,,O,X,,O,O,,X
7,X,X,X,O,X,,O,O,,X
7,X,X,X,O,X,,O,O,O,X
7,X,X,X,O,X,X,O,O,O,X
8,X,,X,,,,,,,
8,X,,X,,,,,,,O
8,X,,X,,X,,,,,O
8,X,O,X,,X,,,,,O
8,X,O,X,X,X,,,,,O
8,X,O,X,X,X,,O,,,O
8,X,O,X,X,X,X,O,,,O
8,X,O,X,X,X,X,O,O,,O
8,X,O,X,X,X,X,O,O,X,O
9,X,,,,,,,,,X
9,X,,O,,,,,,,X
9,X,,O,X,,,,,,X
9,X,,O,X,,,O,,,X
9,X,,O,X,X,,O,,,X
9,X,O,O,X,X,,O,,,X
9,X,O,O,X,X,,O,,X,X
9,X,O,O,X,X,O,O,,X,X
9,X,O,O,X,X,O,O,X,X,X
10,X,,,X,,,,,,
10,X,,,X,,,,O,,
